uniprot	FLYBASE	Alias
M9NDS9	FBgn0263132	CG15313;CG15314;CG2989;CG43374;CT5624;Dmel\CG43374;Dmel_CG15313;Dmel_CG15314;Dmel_CG2989
A0A0B4LI06	FBgn0261552	BcDNA:RE47781;CG16765;CG16776;CG16777;CG18509;CG42670;CG8144;Dmel\CG42670;Dmel_CG16765;Dmel_CG16777;EP(3)3406;NOVA1;PS;cg8144;l(3)10615
Q9VZ40	FBgn0030258	Dmel\CG1552;anon-EST:Posey230
M9PFS8	FBgn0036661	Dmel\CG9705
Q02637	FBgn0005638	C/EBP;CG4354;DC/EBP;DM8;Dm-c/EBP;DmC/EBP;Dmel\CG4354;SLBO;Slbo;fs(2)7;fs(2)8;fs(2)ry7;fs(2)ry8;slobo
Q9VVV0	FBgn0036832	BcDNA:AT03311;Dmel\CG18223;SPH200
A0A0B4K6Z8	FBgn0033159	43Bc;CG17800;CT39257;DSCAM;DScam;DmDscam;Dm_2R:13579;Dm_2R:13612;Dmel\CG17800;DsCam;Dscam;Dscam-hv;Dsm;FBgn0033159;Neu1;dScam;dscam;l(2)05518;l(2)43Bc;p270
Q9VJM6	FBgn0028856	BG:DS07486.5;DS07486.5;Dmel\CG18063
Q9W0M2	FBgn0035167	CG13888;Dmel61a;Dmel\CG13888;GR61a;Gr61D1
Q9W0M3	FBgn0035166	Dmel\CG13902
Q9W0M0	FBgn0035169	Dmel\CG13890
Q7KT57	FBgn0267347	CG4711;Dmel\CG4711;SQU;atg;mat(2)cell-A;mat(2)cellHK35
Q9W0M6	FBgn0260755	CG13886;CT33419;Dmel\CG42553;Dmel_CG13886
Q7KS23	FBgn0053341	Dmel\CG33341
Q9W0M4	FBgn0035165	Dmel\CG13887
Q9W0M5	FBgn0035164	Dmel\CG13901
Q9VX88	FBgn0030812	BP1032;CG34014;Dmel\CG8949
X2JFG6	FBgn0085354	CG18358;Dmel\CG34325
Q7KT58	FBgn0028523	BG:DS02780.1;CT18477;Dmel\CG5888
Q9VW12	FBgn0036887	Dmel\CG9231
Q9VW13	FBgn0036888	Dmel\CG9330
Q9VW10	FBgn0036886	Dmel\CG9300
L0MLQ9	FBgn0052016	CG11097;CG11232;CG32016;Dm4E-T;Dmel\CG32016
P82295	FBgn0026189	CG7740;Dmel\CG7740;bs29e02.y1
Q9VW17	FBgn0036890	BcDNA:RH51268;Dmel\CG9368
Q9VW14	FBgn0036889	Dmel\CG14100
Q9VW15	FBgn0005386	ASH1;Ash;Ash 1;Ash1;CG8887;Dmel\CG8887;ash;ash-1;dash;l(3)76BDb;l(3)SG29a
Q9W2N0	FBgn0034577	CG10540;Cpa;Dmel\CG10540;miro;scrd
Q9W2N3	FBgn0050296	CG15652;CG30296;CG9349;DmRIC-3;Dmel\CG30296
Q8MLR0	FBgn0266377	CG42241;CG45019;CG5411;Dmel\CG45019;Dmel_CG42241;Dmel_CG5411;PDE8;pde8
Q9W2N5	FBgn0034573	Dmel\CG3295
M9PHK0	FBgn0030257	Dmel\CG11160
P53501	FBgn0000044	Act57;Act57A;Act57b;Actin;BEST:RE38067;C;CG10067;CG30294;Dmel\CG10067;M;T10;act 57A;act57A;act57B;act57b;actin;anon-EST:CL2c12;chr2R:16452771..16452966
M9PHK2	FBgn0031030	AAF48973;CG14217;Dmel\CG14217;MARKK;TAO1;Tao-1;dTao-1;tao;tao-1;tao1
Q9VJY9	FBgn0032515	CG6866;Dmel\CG6866;LOQS;Loqs;R3D1;R3D1-L;R3D1-S;TRBP;cg6866;dRax;loq;r3d1
Q9VJY8	FBgn0032516	Dmel\CG9293
Q9VGK1	FBgn0037931	CG17822;Dmel\CG18476
Q9VXU7	FBgn0030645	Alg14;Dmel\CG6308;dAlg14
Q9VGK3	FBgn0037930	BcDNA:GM09283;BcDNA:RH50927;Dmel\CG14715
Q9VJY3	FBgn0032521	Dmel\CG7110
Q9VJY1	FBgn0032522	Dmel\CG16848;FBgn0032522
Q9VGK8	FBgn0262081	CG17309;CG32852;CG42317;CSK;DCsk;Dmel\CG42317;Dmel_CG17309;Dmel_CG32852;csk;d-Csk;dCSK;dCsk;dcsk;flik;l(3)S017909;l(3)j1D8
Q9VJY6	FBgn0032518	CG9282;Dmel\CG9282;L24;RL24_DROME;Rp L24;Rpl24;anon-EST:Posey242;anon-EST:Posey37
Q9VJY5	FBgn0032519	Dmel\CG16957
Q9VJY4	FBgn0032520	Dmel\CG10859
Q1EC92	FBgn0263980	CG12958;CG12959;CG14163;CG18625;CG30470;CG34318;CG34318/CG34365/CG8179;CG34365;CG43223;CG8179;Dm_2R:47664;Dm_2R:47672;Dmel\CG43729;Dmel_CG12958;Dmel_CG12959;Dmel_CG18625;Dmel_CG30470;Dmel_CG34318;Dmel_CG34365;Dmel_CG43223;Dmel_CG8179;mdcds_11908
A0A0B4LHA8	FBgn0050416	BcDNA:AT11052;CG9803;Dmel\CG30416
Q9VMY5	FBgn0037215	CG12582;CG12583;Dmel\CG12582
Q9VCJ6	FBgn0039104	BEST:GH13953;Dmel\CG10252;anon-WO0140519.133;bs30h03.y1
A0A0B4LHA1	FBgn0266566	CG14878;CG31291;CG34275;CG5552;Dmel\CG45105;Dmel_CG31291;Dmel_CG34275
Q9VQP5	FBgn0031526	Dmel\CG8838;anon-WO0140519.135
P25439	FBgn0000212	BRD;BRM;Brm;Brm @ Kto;CG18438;CG5942;Dmel\CG5942;E(E2F)3A;dBRM;dSNF2;l(3)72Aa
Q9W368	FBgn0030107	Dmel\CG15370
A0A0B4KI68	FBgn0086362	1130/03;CG12114;Dmel\CG12114;Spn-F;l(3)S113003b
Q9VQP1	FBgn0031522	Dmel\CG3285
Q9W365	FBgn0052704	CG12122;CG12666;CG32704;CT7438;DmelIR8a;Dmel\CG32704;IR8a
Q9W366	FBgn0030109	Dmel\CG12121
Q9VE10	FBgn0038674	Dmel\CG14285
Q6NP71	FBgn0066101	CG31094;CG31095;CG4861;CG4870;CG4874;CT15569;Dmel\CG31094;lpr1
Q9VQP9	FBgn0031529	BcDNA:AT03617;Dmel\CG9662
Q9W363	FBgn0260789	CG12058;CG12124;Dmel\CG12124;Dmel_CG12058;MPM2;MXC;Mxc;NPAT;dNPAT;l(1)mbn
Q9VZL8	FBgn0026592	BEST:HL04053;CG1079;Dmel\CG1079;HL04053
Q8MLR2	FBgn0034885	Aqp4019;Dmel\CG4019
Q9VZL1	FBgn0035473	BcDNA:LP07226;CG14981;Dmel\CG14981;l(3)63Fc;l(3)SH3
Q9VZL2	FBgn0041147	APC5;Apc5;CG10850;Dmel\CG10850;IDA;l(3)63Fb;l(3)SH7
Q9VZL3	FBgn0035471	CG10849;Dmel\CG10849;dSc2;l(3)05634;l(3)63Eb;l(3)SH4
Q9VZL5	FBgn0035470	C7orf28B;CG14980;Dccz1;Dmel\CG14980;NP_647835
Q9VZL6	FBgn0035469	BcDNA:RH34338;Dmel\CG14977;dC7orf59
A0A0B4K760	FBgn0261262	CG14289;CG31149;CG31222;CG5449;CT17110;CT33918;Dmel\CG42613;Dmel_CG31149;Dmel_CG31222;tld-like
Q8MMD3	FBgn0035060	CG16932;Dmel\CG16932;EH1;EPS-15;EPS15;Eps15;anon-WO0118547.85;eps-15;eps15;i31
A0A0B4K762	FBgn0034140	CG8317;Dmel\CG8317;lst
A0A0B4K765	FBgn0022764	159A11T;27/3;97/15;CG8815;Dmel\CG8815;ES2-3;ESTS:159A11T;EY2-9;SIN3;SIN3A;Sin 3A;Sin3;Sin3a;dSin3;dSin3A;l(2)08269;l(2)k02703;l(2)k05415;l(2)k09715;ld;sin3;sin3A;sin3a;sni3
Q9VMJ0	FBgn0031765	Dmel\CG9109;dC1GalT9
E4NKL4	FBgn0031395	Dmel\CG10874;FBgn 31395
Q8MRC9	FBgn0050463	CG15713;CG8456;CG8463;Dmel\CG30463;dppGalNAcT9
Q0E8Q6	FBgn0028931	BG:DS00797.6;DS00797.6;Dmel\CG16863
X2JHQ0	FBgn0025835	Dmel\CG17707;EG:23E12.3
Q8I0H4	FBgn0267689	CG14538;CG7196;Dmel\CG46025;Dmel_CG14538;Dmel_CG7196
Q8MMD0	FBgn0050423	BcDNA:RH04491;Dmel\CG30423
Q9VMJ5	FBgn0001089	CG9092;Dmel\CG9092;beta-GAL;beta-Gal-1;beta-gal;gal;lacZ-1
Q9VWK6	FBgn0030997	Dmel\CG7990
Q8MMD6	FBgn0050272	CG11682;CG30272;Dmel\CG30272
Q9W1D9	FBgn0034951	Dmel\CG3860
Q8SZR6	FBgn0051223	CG15694;Dmel\CG31223
M9PIK8	FBgn0025702	BEST:CK01209;CG11489;CG9085;CK01209;Dmel\CG11489;SRPK;SRPK1;atc;srpk79D
Q9VCJ9	FBgn0039101	Dmel\CG16710;SP16
Q8SZR2	FBgn0052982	CG18566;CG9584;CG9585;Dmel\CG32982
Q9W1D1	FBgn0034959	Dmel\CG11388;anon-EST:Posey287;dibeta3GnT6
E1JGZ4	FBgn0004133	Blow;CG1363;Dmel\CG1363;l(2)43Eb
M9PIK1	FBgn0262737	CG7437;Dmel\CG7437;MRE17;MUB;Mub;anon-WO0172774.33;anon-WO0172774.35;anon-WO0172774.36;anon-WO0172774.37;l(3)04093;l(3)j6B10;l(3)j8B3
Q9NHV9	FBgn0040068	BcDNA:GH01128;CG7893;DmVav;Dmel\CG7893;DroVav;vav
Q9VMY0	FBgn0031652	CG8873;Dmel\CG8873;FBXL15;JET
Q9VXW3	FBgn0030630	Dmel\CG12608
Q9VKM8	FBgn0053129	CG6087;CG6089;Dmel\CG33129
Q8MLR4	FBgn0015903	3041;Apt;CG5393;Dmel\CG5393;TDF;TDF/APT;l(2)03041;l(2)06369;l(2)09049;l(2)59Ea;l(2)k11531;tdf
A1Z8J9	FBgn0033623	Dmel\CG13202
Q9W0D8	FBgn0035232	Dmel\CG12099
Q9VKM2	FBgn0041781	BEST:SD02991;CG4636;D-SCAR;DWave;DmSCAR;Dmel\CG4636;Dscar;SCAR/WAVE;Scar;WAVE;WAVE/SCAR;Wave;dWAVE;l(2)k03107;l(2)k13811;scar;wave
Q9VKM3	FBgn0010612	ATPN;BcDNA:RE20862;BcDNA:RH28372;CG6105;Dmel\CG6105;I(2)06225;anon-EST:Posey10;l(2)06225
Q9VTW5	FBgn0052105	CG10432;CG17615;Dmel\CG32105
Q9VKM1	FBgn0004872	CG6122;Dmel\CG6122;PIWI;Piwi
Q9VTW3	FBgn0036274	Dmel\CG4328
Q9VKM7	FBgn0053129	CG6087;CG6089;Dmel\CG33129
Q9VTW1	FBgn0036272	Dmel\CG4300;anon-WO0118547.387
A1Z8J3	FBgn0016047	CG13207;Dmel\CG13207;NOMPA;Nomp-A;NompA;nomp
Q9VAQ8	FBgn0039625	CG14517;Dmel\CG14517;beta4GalTB;dbeta4GalTB
Q9VAQ9	FBgn0041780	CG11833;DmSSl2;Dmel\CG11833;SSl2
Q8IQ88	FBgn0035797	Dmel\CG14837
Q7K330	FBgn0033443	DmNAT5;Dmel\CG1698
Q7K332	FBgn0050159	CG3364;Dmel\CG30159
Q9VAQ0	FBgn0039632	CG1401;CUL5;Cul-5;Cullin5;Dmel\CG1401;cul-5;cul5
Q9VAQ1	FBgn0039631	CG11305;D.mel5;Dmel\CG11305;SIRT7;dSIRT7;dmSRT409
M9MSG3	FBgn0261836	BBF-1;Bbbf1;BcDNA:AT10293;BcDNA:GH02446;BcDNA:GH18470;BcDNA:LP10936;CG14035;CG18251;CG18252;CG31649;CG31916;CG33549;CG33715;CG42768;Dmel\CG42768;Dmel_CG14035;Dmel_CG33715;FBgn0010070;MSP-300;MSP300;Msp-300;Spec25CD;jf22;l(2)25Ch;l(2)jf22;msp-300;msp300
Q9VAQ3	FBgn0039629	Dmel\CG11842;SP68
Q9VAQ5	FBgn0039627	Dim1;Dmel\CG11837;FBgn0039627
Q9VMY1	FBgn0031651	CG8849;Dmel\CG8849;L24;RpL24
Q9VAQ7	FBgn0039626	CG1420;Dmel\CG1420;SLU7
Q8MLR5	FBgn0050184	Dmel\CG30184
M9NDN0	FBgn0023215	CG13316;CG2856;DmMnt;Dmel\CG13316;EG:114E2.2;MNT;Mad;Mad-3E;bHLHe43;dMad;dMnt;dmnt;mnt
Q9VR51	FBgn0031184	Dmel\CG14615
N1NVF4	FBgn0039942	Dmel\CG17163
Q9VR50	FBgn0031183	Dmel\CG14621;Slc35e1;lincRNA.1043
Q9VRI8	FBgn0031181	CG14584;DmelIR20a;Dmel\CG14584;IR20a
P50882	FBgn0015756	CG6141;Dmel\CG6141;L9;M(2)32D;Rp L9;Rpl9;anon-EST:fe3A6;anon-WO0153538.25;anon-WO0153538.26;anon-WO0153538.27;rpL9
P50887	FBgn0015288	CG7434;Dmel\CG7434;EG:BACR19J1.4;L22;PBP-12;RL22;RL22_DROME;RPL22;Rp L22;Rpl22;anon-EST:Posey53;rpL22;rpl22
A0A0B4KHG9	FBgn0040601	CG13642;Dmel\CG13643
A0A0B4KHG7	FBgn0023097	0241/08;0249/12;0434/20;0487/06;150268_at;150269_at;Bon;Bonus;CG15687;CG5206;Dmel\CG5206;anon-WO0118547.418;l(3)S043420
Q9VMY2	FBgn0031650	Dmel\CG14044
A0A0B4KHG1	FBgn0027598	BcDNA:GH03163;CD2AP;CG11316;CG1408;CG31012;Cindr;Dmel\CG31012
Q9VCW5	FBgn0039002	Dmel\CG17625
Q8MR37	FBgn0040765	CG17326;CG33473;CG9087;DKLF;Dmel\CG33473;KLF;Klf;LUNA;lincRNA.284
Q9VCW7	FBgn0266418	CG17622;CG17623;CG42686;CG45058;CG6954;Dmel\CG45058;Dmel_CG17622;Dmel_CG17623;Dmel_CG42686;Dmel_CG6954;ban
Q8MR31	FBgn0024728	CG1783;Dmel\CG1783;dSLIP1
Q9VCW1	FBgn0039006	6d4;CG12800;Dmel\CG12800
Q9VCW2	FBgn0263986	CG6969;Dmel\CG6969
Q9VCW3	FBgn0039004	CG6958;Dmel\CG6958;Nup 133;nup133
Q9W0D7	FBgn0035233	CG7864;DmelPex10;Dmel\CG7864;PEX10;pex10
Q9VDY5	FBgn0038693	CG5237;DUNC79;Dmel\CG5237;UNC79;anon-WO0153538.74;anon-WO0172774.15;dunc79
Q9W0D6	FBgn0035235	Dmel\CG7879;cg7879
A8JR10	FBgn0266756	BcDNA:GH06647;Btsz;CG14858;CG17304;CG18280;CG31306;CG33555;CG44012;CG7343;Dmel\CG44012;Dmel_CG17304;Dmel_CG33555;Granulophilin;l(3)10418
Q9VDQ6	FBgn0038765	Dmel\CG4424
A0A0B4LH86	FBgn0034776	Dmel\CG13527;SPH182
X2BZJ7	FBgn0264815	CG14940;CG14942;CG14943;CG14944;CG31757;CG31758;CG42325;CG44007;Dmel\CG44007;Dmel_CG14940;Dmel_CG14943;Dmel_CG14944;Dmel_CG31757;Dmel_CG31758;Dmel_CG42325;PDE1C;PDE1c;mdcds_1440
Q9VWI6	FBgn0031016	CG12199;CT10486;Dmel\CG12199;Kek5
Q9VX80	FBgn0260748	Dmel\CG5004;anon-15Db
Q9VDY6	FBgn0038692	Dmel\CG3773;anon-EST:fe2D10;anon-EST:fe2D12
Q8T9H0	FBgn0032886	38E.22;BEST:LD01639;BcDNA:SD01241;Dmel\CG9328;LD01639
Q7KRZ3	FBgn0266668	CG6095;DExo84;Dmel\CG6095;Exo84p;anon-WO0153538.55;exo84;onr
P15364	FBgn0000071	AMA;BG:DS00276.6;CG2198;CT7244;Dmel\CG2198;M109;ama
Q9VBQ9	FBgn0039337	BcDNA:GM31575;CG5121;Dmel\CG5121;Med23;Med28;dMED23
Q86P80	FBgn0033504	CAP/Vinexin;CG18408;CG18409;CG3451;DCAP;Dmel\CG18408;Rexin;cap;rexin
Q9VBQ3	FBgn0039343	Dmel\CG5111
Q9I7T1	FBgn0042131	Dmel\CG18808
P08879	FBgn0000150	1084/08;Awd;BcDNA:GM19775;BcDNA:RH27794;CG2210;Dmel\CG2210;K-pn;Kpn;NDKB;NDPK;Nm23/awd;anon-EST:Liang-2.27;anon-EST:Liang-2.28;anon-WO0172774.80;anon-WO0172774.82;clone 2.27;clone 2.28;e(shi)A;eshiA;l(3)L8700;l(3)j2A4
O44226	FBgn0023212	CG4204;Dmel\CG4204;Elo-B;Elongin-B
Q9VBQ5	FBgn0039341	Dmel\CG5112
Q9VBQ4	FBgn0039342	Dmel\CG5107;anon-WO0140519.57
A1Z818	FBgn0050007	CG12138;Dmel\CG30007
Q8IQV2	FBgn0052221	Dmel\CG32221;FBXL18;anon-WO0118547.270
Q8IQV5	FBgn0036958	CG6918;Dmel\CG17233
Q8IQV7	FBgn0036952	Dmel\CG6933
Q8IQV6	FBgn0036958	CG6918;Dmel\CG17233
Q8IQV9	FBgn0031078	CG11943;Dmel\CG11943;Ov4;anon-EST:Posey281;nup205
X2JD88	FBgn0264502	CG11203;CG15207;Dmel\CG43901;Dmel_CG11203;Dmel_CG15207
X2JD89	FBgn0005666	39c-18;Bt;CG10285;CG1479;CG32019;CT3598;CT8086;Dmel\CG32019;Prj;l(2)2;l(2)23;l(4)102CDa;l(4)2;l(4)21;l(4)23;l(4)37;l(4)38;l(4)PT-2;projectin;titin
P17719	FBgn0004087	CG14887;DHFR;Dmel\CG14887;dhfr
M9NF18	FBgn0030320	Dmel\CG2247;FBXL5
Q9VWI9	FBgn0086778	CG32538;CG8082;CG8109;CT24218;Da7;Dalpha7;Dalpha7 nAChR;Dalpha7-nAChR;Dmel\CG32538;gfA;gfa;jpl;nAChR;nAChR-Dalpha7;nAcRalpha-18C;nAcRalpha-7;nj507;nj520;nj522;nj54;nj75
Q9VWI2	FBgn0031020	CG12202;Dmel\CG12202;dNat1;l(1)G0311
Q9VWI3	FBgn0044030	CG12211;CG32531;Dmel\CG32531;MRP-S14;MrpS14;S14;cg12211
Q9VWI0	FBgn0031021	CG12203;Dmel\CG12203;IP11020p;NUYM
Q9VWI1	FBgn0020261	CG3291;DmXrn1;Dmel\CG3291;Pcm;XRN1;XRN1/pcm;Xrn1;Xrn1p
Q9V8V8	FBgn0260934	27C1;BcDNA:RH48823;CG11960;CG16701;CG30131;CG30132;CG8201;DPAR-1;DPar1;Dmel\CG8201;EMK;MARK;PAR-1;PAR1;PAR1/MARK2;Par-1;Par1;anon-WO0210402.19;dMARK;dPAR-1;dPAR1;dPar-1;dPar1;l(2)27C1;l(2)k06323;par1
Q9VWI4	FBgn0031018	Dmel\CG12200
E1JHG4	FBgn0032388	Dmel\CG6686;SART1
Q7K7W5	FBgn0000057	CG5124;Dmel\CG5124;anon-WO0196371.1;anon-WO0196371.27;anon-WO0196371.3
A0A0B4K6F9	FBgn0266758	CG6643;Dmel\CG6643;Tricalbin
Q9V5Z7	FBgn0015872	CG9023;DRIP;Dmel\CG9023;I;anon-48Aa;drip
A0A0B4K6F4	FBgn0265276	BcDNA:SD16005;CG14725;CG31364;CG6930;Dmel\CG6930;anon-EST:fe2F4;anon2F4
P13217	FBgn0262738	CG3620;CdkA;DIP2;Dmel\CG3620;MRE18;NORPA;NorpA;PI-PLC;PLC;PLC-beta;PLCbeta;anon-EST:Posey221;nofC;rof;x12;x13;x16;x24
Q9VHP4	FBgn0037601	313b1;CG9716;Dmel\CG9716
Q9VYJ5	FBgn0030420	Dmel\CG12717
Q9VG17	FBgn0038095	304a1;BcDNA:LP06355;CG7241;CYP304A1-Dm;Cyp304A1;Dmel\CG7241
X2JL88	FBgn0052532	CG14201;CG14202;CG14203;Dmel\CG32532
Q9VYJ4	FBgn0030421	AGPAT1;AGPAT2;Dmel\CG3812
P29327	FBgn0261592	(Rp)S6;CG10944;DS6;Dmel\CG10944;M(1)7BC;M(1)7C;RPS6;Rp S6;Rps6;S6;air8;air[8];anon-WO02059370.61;hen;l(1)air8;l(1)air[8];l(1)hen;pp30;rpS6;rps6
Q0KHR3	FBgn0000163	BAZ;Baz;Baz/Par-3;Baz/Par3;Bazooka;CG5055;D-Par3;D-par3;Dmel\CG5055;PAR-3;PAR3;Par-3;Par3;dPar-3;l(1)G0484;par-3
A0A0B4KFH6	FBgn0037603	Dmel\CG11753
Q9W560	FBgn0029590	Dmel\CG14811
Q9W2V3	FBgn0030200	CG2885;DmRabX2;Dmel\CG2885
Q27377	FBgn0011293	A10;CG6642;DmelCSP4;Dmel\CG6642;OS-D;OS-D/A10;Os-D;Phk-1
Q7KTP7	FBgn0264743	CG31919;CG5822;Dmel\CG44001;Dromel_CG31919_FBtr0079006_mORF
Q04448	FBgn0010222	151767_at;CG18466;DNMDMC;Dmel\CG18466;Dnmdmc;Mthfd2;dNMDMC;nmdmc
Q9W568	FBgn0001189	CG3095;CT10406;Dmel\CG3095;EG:171E4.2;SWI;l(1)2Bf;l(1)nfw;swi
Q9W569	FBgn0023530	Dmel\CG3740;EG:171E4.4
Q7KTP1	FBgn0003716	Atkv;Atr25D;Brk25D;Brk25D1;Brk25D2;CG14026;Dmel\CG14026;Dtfr;STK-A;TKV;TKV1;Tkv;dtfr;kv;l(2)04415;l(2)25Da;str;tkv1;tkva
A0A0C4DHD7	FBgn0029105	CG2987;Dmel\CG2987;alpha-catenin-Related
Q9VD47	FBgn0038931	Dmel\CG13407
A0A0C4DHD5	FBgn0003435	BcDNA:GH10856;CG9218;Dmel\CG9218;l(2)05338;smo
Q9VRQ8	FBgn0035645	Dmel\CG5592
Q960T6	FBgn0036480	Bld-10;Bld10;Bld10p;CEP135;CG17081;DCep135;DCep135/Bld10;DmBLD10;Dmel\CG17081;bld10;dbld10
Q9VD40	FBgn0038938	Dmel\CG7084
P04359	FBgn0002626	143250_at;BcDNA:RH03940;CG7939;Dmel\CG7939;L32;M(3)99D;RP-49;RP49;RPL32;Rp-49;Rp49;Rp49/RpL32;Rpl32;bs30a02.y1;rp49;rp49/RpL32
Q9VRQ2	FBgn0035640	CG17498;Dmel\CG17498;MAD2;Mad2
Q9VRQ1	FBgn0035639	Dmel\CG5537;anon-EST:Posey275;uprt
Q9VRQ7	FBgn0035644	10489;CG10489;DNApol-epsilon;Dmel\CG10489;POLE2;Pole2;dpolepsilonp58
Q9VRQ6	FBgn0035643	Dmel\CG13287
Q9VD48	FBgn0040582	BcDNA:RH16331;Dmel\CG5791
A0A0C4DHD8	FBgn0033159	43Bc;CG17800;CT39257;DSCAM;DScam;DmDscam;Dm_2R:13579;Dm_2R:13612;Dmel\CG17800;DsCam;Dscam;Dscam-hv;Dsm;FBgn0033159;Neu1;dScam;dscam;l(2)05518;l(2)43Bc;p270
Q8IRL0	FBgn0052681	Dmel\CG32681
Q8IRL1	FBgn0052686	BcDNA:AT25933;Dmel\CG32686;anon-WO02059370.11
Q8IRL2	FBgn0052686	BcDNA:AT25933;Dmel\CG32686;anon-WO02059370.11
P49657	FBgn0259168	CG42273;CG7826;CG7835;DYRK1;Dm1;DmDyrk1A;Dmel\CG42273;Dmel_CG7826;Dmel_CG7835;Dyrk1;Dyrk1A;ME-IV;MNB;Mnb;min
Q8IRL9	FBgn0030170	Dmel\CG2990
Q9V7D2	FBgn0022097	ATP6V1D;CG8186;Dmel\CG8186;Vha36;VhaD;anon-WO0153538.20;anon-WO0153538.21;anon-WO0153538.28;anon-WO02059370.27;l(2)k07207;vha36;vha36-1
Q0E8D0	FBgn0083952	CG14103;Dmel\CG34116
Q9VAK5	FBgn0039669	CG2014;Dmel\CG2014;ND20-like;NUKM
X2JLM6	FBgn0031187	CG14619;Dmel\CG14619;Q9VR54
X2JCR6	FBgn0029851	Dmel\CG14445
Q8IHH3	FBgn0003435	BcDNA:GH10856;CG9218;Dmel\CG9218;l(2)05338;smo
P12428	FBgn0000241	CG17632;Dmel\CG17632;Pm;Su(w[co2]);Su(w[coJ]);ptm
Q9V9X7	FBgn0039846	Dmel\CG11337
M9PFZ1	FBgn0037137	CG7421;DmNopp140;Dmel\CG7421;Nopp- 140;nopp140
Q7KV69	FBgn0004167	CG12008;Dmel\CG12008;Kst;Spec-beta[[H]];beta-Spectrin;betaH;betaH-Spec;betaHS;beta[[H]];beta[[H]]-SPEC;beta[[H]]-Sp;beta[[H]]-Spec;beta[[H]]-Spectrin;beta[[H]]spectrin;beta[[Heavy]]spectrin;beta[[heavy]]-Spec;beta[[heavy]]-Spectrin;beta[[heavy]]spectrin;betah-Spec;l(3)01318
Q9V9X4	FBgn0039849	Dmel\CG11334
Q9V9X3	FBgn0039850	BcDNA:AT02774;Dmel\CG11333
Q9V9X1	FBgn0039851	CG12063;Dmel\CG12063
A1Z823	FBgn0033468	Dmel\CG1418
A8JNU6	FBgn0010352	141810_at;CG11661;Dmel\CG11661;E1;FBgn0036682;Nc73eF;anon-WO0118547.329
Q9VAK1	FBgn0086361	CG1906;Dmel\CG1906;PP2Cb;SK3-1;pp2c99B
Q9VJV8	FBgn0004407	BG:DS00941.9;CG33084;CG33650;CG8969;D-pol gamma-beta;DNA pol-gam.35;DNApol-gamma;DNApol-gamma.35;Dmel\CG33650;MtPolB;PolG;Polgamma;br16;l(2)34De;l(2)br16;pol gamma-beta;pol gamma35;polgamma;polgamma-beta
Q9VGT2	FBgn0040253	AC 006491G;CG17200;CG17200-PA;Dmel\CG17200
Q9V9X9	FBgn0051002	CG15569;CG31002-PA;Dmel\CG31002
A0A0B4KG96	FBgn0015949	CG9854;Dmel\CG9854;PAP;Pap;l(2)07619;l(2)k07619
Q9VNM9	FBgn0037416	CG15592;Dmel\CG15592
Q9VNM8	FBgn0037415	CG15591;Dmel\CG15591
Q9VLD9	FBgn0041092	58/2;CG13109;CG18494;DAIB1;DmTaiman;Dmel\CG13109;EP(2)2630;NEST:bs13g05;TAI;Tai;bs13g05.y1;l(2)01351;l(2)k05802;l(2)k05809
Q9VLD6	FBgn0032105	BORR;Bor;Borr;CG4454;Dmel\CG4454;dBor
Q9VNM2	FBgn0037409	CG15589;Dmel\CG15589
Q9VNM1	FBgn0037408	CG1147;DmNPFR1;Dmel\CG1147;NPF-R;NPFR-1;NPFR1;NPFr;RE18294p;anon-WO0131005.3;anon-WO0131005.5;dNPFR1;npfr1
Q2PDX2	FBgn0054001	BP1041;Dmel\CG34001
Q86B61	FBgn0010329	CG1543;DBH;Dbh;Dmel\CG1543;T beta h;TBH;TBetaH;TBetah;TBh;TbH;TbetaH;TbetaM;Tbetah;tbetah;tbh
Q8MKN0	FBgn0050493	CG1952;Dmel\CG30493
P11997	FBgn0002564	CG6821;DmeLSP1g;Dmel\CG6821;LSP 1;LSP-1 gamma;LSP-1gamma;LSP1;Lsp-1gamma;Lsp1;Lsp1-gamma;Lsp1[gamma];Lsp1gama
Q8T959	FBgn0051226	BcDNA:AT26083;Dmel\CG31226;NEST:bs14h12
M9PCU7	FBgn0262160	Dmel\CG9932;EP2317;Ef4A;elF-4A
O18334	FBgn0015797	136/6;AAF53168;CG6601;DRab6;Dm Rab6;DmRab6;Dmel\CG6601;Drab6;O18334;dRab6;drab6;l(2)08323;rab6;wrt
O18335	FBgn0015790	AAF55850;CG5771;DRAB11;DRab11;Dm Rab11;DmRab11;Dmel\CG5771;Drab11;O18335;RAB11;Rab 11;Rab-11;Rab-r11;l(3)93Bi;l(3)j2D1;rab-11;rab11;rlr7
O18336	FBgn0015791	57H4T;AAF53390;BG:DS01068.7;CG4212;DRAB14;DRab14;DmRab14;Dmel\CG4212;ESTS:57H4T;O18336;Rab-r14;anon-sts33;rab14
Q7JZZ3	FBgn0033787	Dmel\CG13321
O18332	FBgn0016700	AAF55873;CG3320;DRAB1;DRab1;Dm Rab1;DmRab1;Dmel\CG3320;O18332;RAB1a;Rab1a;dRab1;dar6;drab1;rab1
O18333	FBgn0014009	CG3269;DRAB2;DRab2;DmRab2;Dmel\CG3269;Drab2;O18333;rab2
P42570	FBgn0003114	CG9183;Dmel\CG9183;PLU;Plu
